               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094504,            0.022257,            0.081942,                   0,                   0,                   0,                   0,            0.058064,            0.010816,             0.05937,            0.070316,           0.0032982,           0.0032982
                   1,            0.077929,            0.023691,            0.081767,          1.6921e-05,           0.0048077,          9.5347e-06,          9.5347e-07,            0.084669,            0.017378,              0.2559,             0.04025,           0.0065659,           0.0065659
                   2,            0.071921,            0.024475,            0.081007,          0.00036871,            0.042735,          0.00022394,          0.00015381,            0.049251,            0.010314,            0.059612,            0.010118,           0.0097676,           0.0097676
                   3,            0.068371,            0.024442,            0.079561,                   0,                   0,                   0,                   0,            0.064938,            0.011711,             0.10017,            0.009703,            0.009703,            0.009703
                   4,            0.065787,            0.024938,            0.079605,           0.0018315,             0.36746,             0.00459,           0.0012492,            0.047802,            0.011264,            0.057649,            0.009703,            0.009703,            0.009703
                   5,             0.06245,            0.025329,            0.078834,          0.00048511,             0.24501,           0.0011089,          0.00041135,            0.043757,              0.0118,            0.056778,            0.009604,            0.009604,            0.009604
                   6,            0.058336,            0.026151,            0.078882,           0.0010257,             0.38608,           0.0014643,          0.00040042,            0.041564,             0.01263,            0.056381,            0.009505,            0.009505,            0.009505
                   7,             0.05576,            0.025225,            0.077491,           0.0037083,             0.62346,            0.016677,            0.004335,            0.042396,           0.0096677,             0.05646,            0.009406,            0.009406,            0.009406
                   8,             0.05477,            0.023751,            0.077904,           0.0028962,             0.73132,           0.0052723,           0.0014487,            0.042895,            0.020969,            0.056121,            0.009307,            0.009307,            0.009307
                   9,            0.052612,            0.023885,            0.077474,           0.0029303,             0.83086,            0.028143,           0.0081145,            0.044405,            0.010948,            0.056208,            0.009208,            0.009208,            0.009208
                  10,            0.049491,             0.02273,            0.077237,           0.0032193,             0.84032,            0.078028,            0.027739,             0.03454,            0.011475,            0.055425,            0.009109,            0.009109,            0.009109
                  11,            0.049418,            0.022142,            0.077139,           0.0026174,              0.7745,            0.049151,            0.016561,            0.040038,            0.014031,            0.056034,             0.00901,             0.00901,             0.00901
                  12,            0.046974,            0.021617,            0.076786,             0.66635,            0.055639,            0.087731,            0.033828,            0.032379,           0.0084578,            0.054493,            0.008911,            0.008911,            0.008911
                  13,            0.045629,            0.021128,            0.076383,           0.0031263,             0.76081,             0.09447,            0.038512,            0.043298,           0.0086123,            0.055512,            0.008812,            0.008812,            0.008812
                  14,             0.04435,            0.020202,            0.075379,             0.83959,            0.038889,             0.10676,            0.048269,            0.033737,           0.0093391,            0.053031,            0.008713,            0.008713,            0.008713
                  15,            0.044019,            0.019326,            0.074829,             0.71441,            0.094035,              0.1327,            0.067576,            0.027622,           0.0072637,            0.051432,            0.008614,            0.008614,            0.008614
                  16,            0.042225,             0.01945,            0.074584,             0.45277,             0.12132,             0.16237,             0.09134,            0.027063,           0.0067123,             0.05039,            0.008515,            0.008515,            0.008515
                  17,            0.040494,            0.018672,            0.074522,             0.46629,             0.13601,             0.18186,             0.10635,              0.0259,           0.0061026,            0.050069,            0.008416,            0.008416,            0.008416
                  18,            0.040112,            0.018595,             0.07363,             0.35175,             0.14748,             0.15373,            0.093363,            0.029763,           0.0065946,            0.049139,            0.008317,            0.008317,            0.008317
                  19,            0.039271,            0.017952,            0.073141,             0.40004,             0.20721,             0.18474,            0.092664,            0.027984,           0.0060495,            0.048207,            0.008218,            0.008218,            0.008218
                  20,            0.037748,            0.017544,            0.072502,             0.23774,             0.33835,             0.18368,             0.12015,            0.023061,           0.0056937,            0.049002,            0.008119,            0.008119,            0.008119
                  21,            0.037942,            0.017029,            0.070838,             0.38874,             0.24525,             0.22452,             0.12989,            0.030506,           0.0066335,            0.048754,             0.00802,             0.00802,             0.00802
                  22,            0.038175,            0.017421,            0.070355,             0.44101,             0.33257,             0.26495,             0.15144,            0.026329,           0.0056919,            0.043432,            0.007921,            0.007921,            0.007921
                  23,            0.037615,            0.017212,            0.069076,             0.41094,             0.36451,             0.26472,             0.15449,            0.024081,           0.0057886,            0.042409,            0.007822,            0.007822,            0.007822
                  24,            0.037319,            0.016462,            0.069772,             0.41197,             0.42349,             0.30393,             0.19423,             0.02149,           0.0060668,            0.042025,            0.007723,            0.007723,            0.007723
                  25,            0.036002,            0.016501,            0.069406,             0.46393,             0.41291,             0.31771,             0.19677,            0.021984,           0.0054577,            0.042566,            0.007624,            0.007624,            0.007624
                  26,            0.036244,            0.016214,             0.06684,             0.29725,             0.44751,              0.3306,             0.20727,             0.02311,           0.0051524,            0.040511,            0.007525,            0.007525,            0.007525
